game_id,country_code,draw_date,draw_number,main_1,main_2,main_3,main_4,main_5,main_6,main_7,bonus_1,bonus_2
jp_loto6,JP,2024-02-12,256,7,8,16,28,36,37,,29,
jp_loto6,JP,2024-02-08,255,3,7,22,23,24,32,,2,
jp_loto6,JP,2024-02-05,254,1,6,17,28,40,42,,4,
jp_loto6,JP,2024-02-01,253,8,19,21,29,38,40,,12,
jp_loto6,JP,2024-01-29,252,3,5,18,21,26,36,,34,
jp_loto6,JP,2024-01-25,251,14,22,28,34,41,42,,11,
jp_loto6,JP,2024-01-22,250,15,20,24,37,38,39,,27,
jp_loto6,JP,2024-01-18,249,25,27,33,37,38,43,,16,
jp_loto6,JP,2024-01-15,248,2,12,13,27,39,40,,30,
jp_loto6,JP,2024-01-11,247,8,15,20,21,31,34,,28,
jp_loto6,JP,2024-01-08,246,1,4,11,28,37,39,,15,
jp_loto6,JP,2024-01-04,245,12,13,17,22,35,40,,5,
jp_loto6,JP,2023-12-28,244,11,16,20,23,38,41,,33,
jp_loto6,JP,2023-12-25,243,4,10,19,31,34,35,,43,
jp_loto6,JP,2023-12-21,242,21,24,26,30,31,38,,3,
jp_loto6,JP,2023-12-18,241,7,8,12,25,30,32,,40,
jp_loto6,JP,2023-12-14,240,11,13,24,26,28,34,,17,
jp_loto6,JP,2023-12-11,239,15,16,24,26,35,43,,38,
jp_loto6,JP,2023-12-07,238,8,9,10,16,17,39,,4,
jp_loto6,JP,2023-12-04,237,1,8,23,30,36,41,,39,
jp_loto6,JP,2023-11-30,236,11,15,17,33,36,41,,6,
jp_loto6,JP,2023-11-27,235,3,23,26,27,31,35,,10,
jp_loto6,JP,2023-11-23,234,18,22,25,35,36,39,,43,
jp_loto6,JP,2023-11-20,233,6,8,15,16,33,37,,34,
jp_loto6,JP,2023-11-16,232,10,22,25,30,31,39,,28,
jp_loto6,JP,2023-11-13,231,12,15,28,31,34,43,,9,
jp_loto6,JP,2023-11-09,230,4,5,10,19,26,37,,3,
jp_loto6,JP,2023-11-06,229,4,6,9,24,26,29,,35,
jp_loto6,JP,2023-11-02,228,8,11,15,31,33,38,,30,
jp_loto6,JP,2023-10-30,227,4,9,15,21,26,33,,13,
jp_loto6,JP,2023-10-26,226,2,5,26,32,34,40,,21,
jp_loto6,JP,2023-10-23,225,3,13,23,28,30,43,,5,
jp_loto6,JP,2023-10-19,224,16,17,27,34,38,42,,20,
jp_loto6,JP,2023-10-16,223,13,17,18,22,23,41,,26,
jp_loto6,JP,2023-10-12,222,11,20,23,24,31,33,,1,
jp_loto6,JP,2023-10-09,221,14,21,30,38,40,42,,20,
jp_loto6,JP,2023-10-05,220,7,13,34,37,42,43,,38,
jp_loto6,JP,2023-10-02,219,2,7,20,25,35,40,,6,
jp_loto6,JP,2023-09-28,218,1,14,17,27,32,43,,42,
jp_loto6,JP,2023-09-25,217,4,10,23,29,31,36,,6,
jp_loto6,JP,2023-09-21,216,12,15,16,17,28,42,,32,
jp_loto6,JP,2023-09-18,215,1,6,9,16,18,22,,8,
jp_loto6,JP,2023-09-14,214,1,13,18,23,38,41,,36,
jp_loto6,JP,2023-09-11,213,7,14,18,19,22,25,,38,
jp_loto6,JP,2023-09-07,212,1,10,13,17,20,41,,4,
jp_loto6,JP,2023-09-04,211,6,7,13,18,25,43,,33,
jp_loto6,JP,2023-08-31,210,4,10,18,25,34,38,,40,
jp_loto6,JP,2023-08-28,209,5,18,21,22,26,42,,8,
jp_loto6,JP,2023-08-24,208,9,11,12,14,27,38,,34,
jp_loto6,JP,2023-08-21,207,5,10,30,35,36,41,,23,
jp_loto6,JP,2023-08-17,206,5,8,18,20,24,34,,29,
jp_loto6,JP,2023-08-14,205,2,11,23,25,34,36,,1,
jp_loto6,JP,2023-08-10,204,6,24,30,33,37,38,,7,
jp_loto6,JP,2023-08-07,203,2,21,25,34,35,40,,6,
jp_loto6,JP,2023-08-03,202,3,8,10,25,26,29,,32,
jp_loto6,JP,2023-07-31,201,1,2,13,21,23,31,,5,
jp_loto6,JP,2023-07-27,200,5,22,26,34,39,42,,12,
jp_loto6,JP,2023-07-24,199,10,13,18,28,36,39,,7,
jp_loto6,JP,2023-07-20,198,2,4,6,13,20,38,,33,
jp_loto6,JP,2023-07-17,197,4,17,26,30,31,43,,25,
jp_loto6,JP,2023-07-13,196,2,5,10,22,24,42,,7,
jp_loto6,JP,2023-07-10,195,2,10,27,38,40,41,,11,
jp_loto6,JP,2023-07-06,194,1,2,8,9,10,20,,25,
jp_loto6,JP,2023-07-03,193,11,30,35,38,40,43,,12,
jp_loto6,JP,2023-06-29,192,4,22,27,31,32,40,,35,
jp_loto6,JP,2023-06-26,191,12,14,18,25,36,42,,26,
jp_loto6,JP,2023-06-22,190,9,16,18,19,39,41,,3,
jp_loto6,JP,2023-06-19,189,1,9,34,35,39,42,,33,
jp_loto6,JP,2023-06-15,188,18,25,26,37,39,43,,21,
jp_loto6,JP,2023-06-12,187,6,12,13,15,17,41,,27,
jp_loto6,JP,2023-06-08,186,11,18,34,40,41,42,,14,
jp_loto6,JP,2023-06-05,185,4,5,19,32,34,37,,41,
jp_loto6,JP,2023-06-01,184,15,23,26,34,41,43,,32,
jp_loto6,JP,2023-05-29,183,2,5,15,16,23,26,,32,
jp_loto6,JP,2023-05-25,182,26,30,31,35,41,43,,5,
